playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471707,2009,James Neal,DAL,R,other,77,3599.0,74.0,33.57,0.62,0.59,0.7,0.52,0.71,0.52,238.0,13.58,3.13,0.99,2.42,0.49,7.25,4.72,2.6,3.13,2.6,1.0,0.0,12.0,7.0,5.0,24.0,3.0,2.0,2.0,1.0,4.0,0.0,6.0,5.0,10.0,17.0,1.0,2.0,3.0,4.0,4.0,1.0,7.0,6.0,6.0,0.3,0.65,2.18,0.0,1.0,1.0,24.0,19.0,19.0,0.0,0.29,0.72,0.49,2.92,2.92,2.42,74.0,30.0,7.0,8.0,29.0,13.0,10.0,14.0,37.0,3.0,6.0,5852.0,2.0,6.0,3.0,0.0,61.46,11.01,9.79,11.01,9.79,56.0,31.0,25.0,112.0,8.0,4.0,2.0,44.0,28.0,15.0,1.68,3.75,5.59,0.0,5.0,3.0,112.0,87.0,87.0,1.34,1.22,1.22,11.14,11.14,10.11,24.31,6.8,6.15,6.8,6.15,23.0,12.0,13.0,48.0,7.0,4.0,1.0,18.0,6.0,11.0,0.73,0.69,5.38,1.0,0.0,6.0,48.0,35.0,35.0,0.37,1.91,1.91,5.26,5.26,5.17,13.68,9.37,153.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2009,James Neal,DAL,R,all,77,84185.0,1813.0,50.74,0.55,0.47,0.53,0.47,0.53,0.47,340.0,197.48,22.42,15.31,40.77,6.52,106.81,80.16,21.37,22.36,21.3,18.0,10.0,198.0,74.0,71.0,343.0,55.0,27.0,7.0,4.0,38.0,4.0,88.0,108.0,171.0,245.0,25.0,64.0,19.0,173.0,57.0,26.0,168.0,82.0,22.0,6.14,9.67,6.61,9.0,10.0,8.0,342.23,272.0,271.61,11.0,3.5,2.02,3.76,22.16,22.1,21.21,1813.0,333.0,139.0,284.0,1057.0,292.0,269.0,299.0,953.0,19.0,40.0,198893.0,64.0,75.0,36.0,31.0,773.87,76.83,73.47,76.79,73.42,770.0,315.0,335.0,1420.0,85.0,53.0,12.0,785.0,227.0,73.0,23.44,27.38,26.01,26.0,33.0,26.0,1415.56,1085.0,1083.29,12.89,10.78,10.83,78.89,78.82,76.18,703.73,62.33,60.18,62.83,60.67,717.0,260.0,284.0,1261.0,73.0,50.0,10.0,749.0,171.0,57.0,23.67,19.58,19.08,23.0,32.0,18.0,1270.99,977.0,984.95,9.8,11.73,12.37,59.77,60.26,59.45,136.81,151.6,2887.0,3259.0,0.0,0.0,0.0,0.0,0.0,0.0
8471707,2009,James Neal,DAL,R,5on5,77,64419.0,1385.0,50.74,0.49,0.49,0.48,0.48,0.48,0.48,329.0,143.35,14.99,10.17,30.41,4.55,75.13,60.75,14.62,14.92,14.54,9.0,10.0,146.0,50.0,50.0,246.0,41.0,22.0,3.0,3.0,24.0,4.0,64.0,79.0,124.0,174.0,18.0,50.0,7.0,162.0,46.0,23.0,130.0,53.0,13.0,5.09,6.47,3.43,8.0,9.0,5.0,245.23,196.0,195.61,11.0,2.11,0.36,2.98,14.12,14.06,13.85,1385.0,189.0,120.0,250.0,826.0,232.0,211.0,216.0,726.0,7.0,15.0,156367.0,50.0,59.0,28.0,29.0,517.16,42.38,41.3,42.33,41.24,520.0,204.0,215.0,939.0,51.0,34.0,8.0,555.0,137.0,32.0,17.37,16.21,8.8,22.0,19.0,10.0,934.56,724.0,722.29,7.04,6.73,6.7,42.71,42.64,42.04,577.74,44.27,43.19,44.77,43.68,588.0,212.0,236.0,1036.0,55.0,36.0,5.0,633.0,134.0,33.0,20.01,15.14,9.12,22.0,26.0,7.0,1045.99,800.0,807.95,7.67,7.7,8.34,43.6,44.1,43.65,89.79,94.77,2201.0,2382.0,0.94,2.14,35.0,48.0,27.0,41.0
8471707,2009,James Neal,DAL,R,4on5,77,4212.0,133.0,41.45,0.12,0.07,0.1,0.08,0.09,0.1,300.0,2.91,0.32,0.16,0.38,0.09,0.9,2.16,0.32,0.32,0.32,1.0,0.0,2.0,2.0,2.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,7.0,1.0,2.0,2.0,0.0,0.08,0.24,0.0,1.0,0.0,0.0,6.0,4.0,4.0,0.0,0.04,0.0,0.0,0.35,0.35,0.35,133.0,4.0,8.0,8.0,113.0,10.0,27.0,25.0,71.0,3.0,4.0,16944.0,0.0,4.0,2.0,0.0,6.06,0.98,0.98,0.98,0.98,6.0,2.0,5.0,13.0,3.0,0.0,0.0,3.0,4.0,1.0,0.1,0.55,0.33,1.0,1.0,1.0,13.0,8.0,8.0,0.08,0.0,0.0,1.06,1.06,1.06,60.45,7.08,6.73,7.08,6.73,64.0,21.0,27.0,112.0,7.0,5.0,2.0,60.0,15.0,10.0,1.51,1.67,3.9,0.0,2.0,5.0,112.0,85.0,85.0,1.27,1.46,1.46,6.89,6.89,6.63,2.24,29.32,47.0,508.0,0.01,0.02,1.0,1.0,1.0,1.0
8471707,2009,James Neal,DAL,R,5on4,77,11955.0,221.0,50.13,0.86,0.89,0.86,0.87,0.84,0.86,345.0,36.12,3.83,3.93,7.24,1.34,22.89,11.78,3.67,3.83,3.67,7.0,0.0,36.0,15.0,12.0,63.0,9.0,2.0,2.0,0.0,9.0,0.0,18.0,20.0,34.0,49.0,6.0,12.0,6.0,3.0,0.0,1.0,28.0,20.0,3.0,0.62,2.21,1.0,0.0,0.0,2.0,63.0,51.0,51.0,0.0,1.04,0.94,0.29,4.58,4.58,4.41,221.0,110.0,4.0,18.0,89.0,37.0,21.0,44.0,119.0,6.0,13.0,15498.0,12.0,4.0,2.0,2.0,185.59,22.24,21.18,22.24,21.18,185.0,76.0,88.0,349.0,23.0,15.0,2.0,179.0,57.0,25.0,4.18,6.77,11.29,3.0,8.0,12.0,349.0,261.0,261.0,4.38,2.83,2.91,23.7,23.7,22.7,35.36,3.59,3.53,3.59,3.53,35.0,14.0,8.0,57.0,3.0,4.0,1.0,33.0,13.0,3.0,1.18,1.73,0.68,0.0,3.0,0.0,57.0,49.0,49.0,0.42,0.55,0.55,3.46,3.46,3.44,25.97,3.2,427.0,62.0,0.24,0.1,2.0,3.0,2.0,3.0
8471385,2009,Adam Pardy,CGY,D,other,57,615.0,15.0,7.35,0.4,0.62,0.47,0.47,0.38,0.52,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,1.0,10.0,0.0,1.0,3.0,11.0,0.0,0.0,2812.0,0.0,0.0,0.0,0.0,7.13,0.9,0.9,0.9,0.9,8.0,2.0,4.0,14.0,2.0,0.0,0.0,7.0,2.0,1.0,0.23,0.3,0.37,1.0,1.0,0.0,14.0,10.0,10.0,0.09,0.0,0.0,0.99,0.99,0.99,11.39,1.36,1.34,1.36,1.34,12.0,4.0,0.0,16.0,3.0,0.0,0.0,9.0,6.0,1.0,0.36,0.76,0.24,0.0,2.0,1.0,16.0,16.0,16.0,0.24,0.0,0.0,1.6,1.6,1.57,9.52,5.77,75.0,85.0,0.34,0.0,3.0,0.0,2.0,0.0
8471385,2009,Adam Pardy,CGY,D,all,57,54212.0,1259.0,17.1,0.53,0.49,0.52,0.52,0.53,0.5,297.0,41.13,1.02,2.38,11.47,1.27,26.39,18.47,0.99,1.01,0.98,4.0,3.0,40.0,21.0,38.0,99.0,9.0,2.0,1.0,0.0,7.0,2.0,26.0,23.0,38.0,59.0,22.0,48.0,0.0,54.0,16.0,28.0,61.0,0.0,0.0,1.02,0.0,0.0,2.0,0.0,0.0,98.54,61.0,60.48,20.0,0.48,0.14,0.0,1.49,1.48,1.44,1259.0,92.0,104.0,189.0,874.0,170.0,173.0,136.0,780.0,0.0,0.0,153787.0,48.0,36.0,15.0,60.0,446.06,31.89,30.86,32.2,31.17,445.0,187.0,224.0,856.0,27.0,15.0,1.0,517.0,98.0,17.0,14.53,11.71,5.65,14.0,9.0,4.0,862.07,632.0,636.04,5.7,3.03,3.21,33.73,33.92,33.02,389.8,28.72,28.1,28.55,27.94,398.0,163.0,217.0,778.0,37.0,25.0,8.0,444.0,100.0,17.0,12.45,11.84,4.43,14.0,17.0,6.0,772.85,561.0,558.98,5.55,3.34,4.05,29.62,29.49,29.1,107.44,113.77,2414.0,2266.0,0.0,0.0,0.0,0.0,0.0,0.0
8471385,2009,Adam Pardy,CGY,D,5on5,57,48924.0,1095.0,17.1,0.55,0.49,0.55,0.52,0.56,0.5,247.0,38.35,0.92,2.17,10.58,1.18,24.53,17.61,0.91,0.91,0.9,4.0,1.0,36.0,21.0,37.0,94.0,7.0,2.0,1.0,0.0,6.0,1.0,25.0,22.0,34.0,55.0,21.0,48.0,0.0,51.0,14.0,26.0,57.0,0.0,0.0,0.92,0.0,0.0,2.0,0.0,0.0,93.54,57.0,56.48,19.0,0.43,0.14,0.0,1.35,1.33,1.31,1095.0,78.0,87.0,181.0,749.0,156.0,149.0,120.0,670.0,0.0,0.0,113934.0,48.0,34.0,14.0,50.0,416.61,28.79,28.28,29.1,28.59,414.0,177.0,210.0,801.0,25.0,15.0,1.0,485.0,92.0,14.0,13.65,10.91,4.23,13.0,8.0,4.0,807.07,591.0,595.05,5.25,3.03,3.21,30.18,30.37,30.02,331.73,23.53,23.02,23.36,22.85,332.0,140.0,193.0,665.0,29.0,24.0,8.0,376.0,85.0,11.0,10.67,10.19,2.67,13.0,13.0,3.0,659.85,472.0,469.98,4.33,3.11,3.82,23.72,23.59,23.28,63.68,66.19,1705.0,1590.0,4.12,0.6,106.0,13.0,88.0,12.0
8471385,2009,Adam Pardy,CGY,D,4on5,57,3723.0,112.0,12.4,0.19,0.07,0.16,0.13,0.16,0.14,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,10.0,7.0,95.0,6.0,19.0,11.0,76.0,0.0,0.0,13744.0,0.0,0.0,0.0,0.0,8.8,0.76,0.76,0.76,0.76,11.0,1.0,4.0,16.0,0.0,0.0,0.0,8.0,4.0,0.0,0.27,0.49,0.0,0.0,0.0,0.0,16.0,12.0,12.0,0.11,0.0,0.0,0.87,0.87,0.87,41.75,3.29,3.26,3.29,3.26,46.0,19.0,21.0,86.0,5.0,0.0,0.0,53.0,8.0,4.0,1.21,0.79,1.29,1.0,2.0,2.0,86.0,65.0,65.0,0.89,0.0,0.01,3.98,3.98,3.95,2.14,28.15,58.0,404.0,0.14,0.0,2.0,1.0,2.0,0.0
8471385,2009,Adam Pardy,CGY,D,5on4,57,950.0,37.0,5.25,0.95,0.97,0.81,0.92,0.81,0.92,119.0,2.78,0.1,0.2,0.89,0.09,1.86,0.86,0.08,0.1,0.08,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.05,0.0,0.0,0.14,0.14,0.13,37.0,14.0,3.0,0.0,20.0,8.0,4.0,2.0,23.0,0.0,0.0,8721.0,0.0,0.0,0.0,4.0,11.9,1.4,0.88,1.4,0.88,10.0,7.0,5.0,22.0,0.0,0.0,0.0,15.0,0.0,2.0,0.35,0.0,1.05,0.0,0.0,0.0,22.0,17.0,17.0,0.24,0.0,0.0,1.64,1.64,1.09,2.67,0.07,0.07,0.07,0.07,4.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,0.01,0.0,0.0,0.08,0.08,0.08,13.44,0.42,244.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8470144,2009,Frans Nielsen,NYI,C,other,75,4584.0,99.0,28.81,0.66,0.5,0.53,0.39,0.54,0.42,171.0,9.18,1.41,0.58,1.73,0.28,4.92,4.08,1.38,1.41,1.38,2.0,1.0,8.0,5.0,6.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,8.0,13.0,0.0,0.0,49.0,1.0,7.0,3.0,7.0,4.0,2.0,0.21,0.48,0.72,0.0,0.0,0.0,19.0,13.0,13.0,2.0,0.15,0.0,0.0,1.56,1.56,1.52,99.0,23.0,27.0,19.0,30.0,9.0,13.0,16.0,61.0,49.0,33.0,8103.0,0.0,4.0,2.0,1.0,43.0,6.26,6.06,6.26,6.06,42.0,19.0,20.0,81.0,6.0,1.0,0.0,38.0,14.0,9.0,1.17,1.69,3.4,3.0,2.0,1.0,81.0,61.0,61.0,0.78,0.09,0.09,6.96,6.96,6.72,35.93,3.28,3.12,3.28,3.12,37.0,16.0,18.0,71.0,3.0,1.0,0.0,40.0,11.0,2.0,1.31,1.43,0.54,1.0,1.0,1.0,71.0,53.0,53.0,0.67,0.18,0.18,3.76,3.76,3.61,10.74,10.78,105.0,164.0,0.0,0.06,0.0,2.0,0.0,1.0
