playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479371,2022,Dante Fabbro,NSH,D,other,45,960.0,20.0,6.55,0.32,0.59,0.33,0.62,0.33,0.65,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,7.0,2.0,10.0,6.0,3.0,2.0,9.0,0.0,0.0,3135.0,0.0,0.0,0.0,3.0,4.98,1.05,0.95,1.05,0.95,4.0,3.0,4.0,11.0,0.0,0.0,0.0,5.0,1.0,1.0,0.2,0.09,0.77,0.0,0.0,0.0,11.0,7.0,7.0,0.06,0.0,0.0,1.12,1.12,1.01,10.49,2.25,2.22,2.25,2.22,7.0,7.0,8.0,22.0,1.0,0.0,0.0,5.0,7.0,2.0,0.22,0.9,1.13,0.0,1.0,0.0,22.0,14.0,14.0,0.22,0.0,0.0,2.46,2.46,2.43,10.9,7.7,102.0,63.0,0.1,0.0,1.0,0.0,1.0,0.0
8479371,2022,Dante Fabbro,NSH,D,all,45,43527.0,954.0,13.23,0.46,0.5,0.47,0.5,0.47,0.49,226.0,55.73,2.39,3.17,15.47,1.79,32.05,24.13,2.23,2.34,2.19,3.0,4.0,63.0,16.0,41.0,120.0,8.0,1.0,8.0,0.0,16.0,1.0,26.0,27.0,62.0,78.0,13.0,26.0,0.0,55.0,11.0,21.0,74.0,3.0,2.0,1.44,0.41,0.54,0.0,1.0,0.0,119.0,79.0,78.41,20.0,0.64,1.56,0.76,2.27,2.21,2.16,954.0,68.0,125.0,146.0,615.0,150.0,149.0,97.0,558.0,0.0,0.0,120659.0,26.0,8.0,4.0,64.0,375.83,36.97,34.71,36.93,34.69,388.0,128.0,172.0,688.0,27.0,42.0,8.0,368.0,106.0,42.0,11.3,13.48,12.19,10.0,9.0,8.0,687.51,516.0,516.88,5.29,9.01,9.01,33.25,33.23,32.23,417.63,42.67,40.48,42.86,40.66,415.0,156.0,217.0,788.0,33.0,30.0,2.0,390.0,148.0,33.0,12.03,18.26,12.37,6.0,18.0,9.0,791.59,571.0,570.76,6.42,6.51,6.51,42.57,42.7,41.36,120.01,118.81,2020.0,2030.0,0.0,0.0,0.0,0.0,0.0,0.0
8479371,2022,Dante Fabbro,NSH,D,5on5,45,38899.0,832.0,13.23,0.54,0.49,0.51,0.49,0.52,0.48,199.0,54.23,2.35,3.1,15.28,1.72,31.6,22.97,2.19,2.3,2.15,3.0,4.0,61.0,16.0,40.0,117.0,8.0,1.0,8.0,0.0,16.0,1.0,25.0,26.0,60.0,76.0,13.0,26.0,0.0,48.0,11.0,17.0,72.0,3.0,2.0,1.4,0.41,0.54,0.0,1.0,0.0,116.01,77.0,76.41,16.0,0.62,1.56,0.76,2.21,2.16,2.1,832.0,64.0,75.0,141.0,552.0,138.0,126.0,82.0,486.0,0.0,0.0,90168.0,26.0,8.0,4.0,47.0,362.1,34.88,32.82,34.84,32.8,377.0,121.0,166.0,664.0,26.0,41.0,8.0,355.0,104.0,39.0,10.79,13.26,10.84,10.0,8.0,8.0,663.51,498.0,498.88,5.11,8.68,8.68,31.32,31.3,30.42,338.03,29.73,28.58,29.93,28.76,340.0,123.0,175.0,638.0,24.0,19.0,1.0,324.0,122.0,17.0,9.96,15.09,4.69,6.0,15.0,3.0,641.59,463.0,462.76,4.63,3.79,3.89,30.46,30.6,29.82,72.39,75.09,1415.0,1489.0,2.74,0.32,58.0,5.0,41.0,4.0
8479371,2022,Dante Fabbro,NSH,D,4on5,45,3509.0,92.0,11.85,0.09,0.12,0.08,0.11,0.1,0.12,148.0,1.5,0.04,0.06,0.19,0.08,0.46,1.17,0.04,0.04,0.04,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.01,0.0,0.0,0.06,0.06,0.06,92.0,1.0,42.0,1.0,48.0,5.0,18.0,10.0,59.0,0.0,0.0,9321.0,0.0,0.0,0.0,0.0,8.75,1.03,0.95,1.03,0.95,7.0,4.0,0.0,11.0,1.0,1.0,0.0,8.0,1.0,2.0,0.32,0.13,0.58,0.0,1.0,0.0,11.0,11.0,11.0,0.12,0.34,0.34,0.81,0.81,0.81,69.11,10.69,9.68,10.69,9.68,68.0,26.0,34.0,128.0,8.0,11.0,1.0,61.0,19.0,14.0,1.86,2.28,6.56,0.0,2.0,6.0,128.0,94.0,94.0,1.57,2.72,2.62,9.64,9.64,9.11,2.38,17.43,35.0,283.0,0.04,0.01,1.0,1.0,1.0,1.0
8479371,2022,Dante Fabbro,NSH,D,5on4,45,159.0,10.0,3.8,0.0,0.84,1.0,0.87,0.0,0.84,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,4.0,0.0,0.0,4400.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,1.24,121.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,other,46,781.0,16.0,5.47,0.34,0.28,0.41,0.36,0.3,0.35,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,8.0,1.0,5.0,1.0,1.0,4.0,10.0,0.0,0.0,2197.0,0.0,0.0,0.0,1.0,5.24,1.01,1.0,1.01,1.0,6.0,1.0,6.0,13.0,2.0,0.0,0.0,3.0,3.0,1.0,0.16,0.37,0.48,0.0,1.0,1.0,13.0,7.0,7.0,0.08,0.0,0.0,1.09,1.09,1.08,11.56,1.92,1.63,1.92,1.63,12.0,4.0,3.0,19.0,3.0,0.0,0.0,11.0,0.0,5.0,0.39,0.0,1.53,2.0,0.0,1.0,19.0,16.0,16.0,0.3,0.0,0.0,2.22,2.22,1.91,5.94,14.93,41.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,all,46,46119.0,920.0,9.33,0.42,0.42,0.45,0.46,0.44,0.46,212.0,49.44,2.59,2.81,12.42,1.57,29.23,22.38,2.44,2.57,2.42,2.0,3.0,51.0,20.0,38.0,109.0,6.0,1.0,8.0,0.0,11.0,0.0,24.0,27.0,50.0,70.0,11.0,22.0,0.0,52.0,27.0,57.0,64.0,5.0,2.0,1.62,0.5,0.47,1.0,0.0,0.0,107.01,71.0,69.99,52.0,0.56,1.88,0.3,2.84,2.8,2.68,920.0,67.0,112.0,105.0,636.0,130.0,136.0,132.0,522.0,0.0,0.0,121364.0,22.0,12.0,6.0,49.0,328.59,30.93,29.67,30.65,29.41,327.0,123.0,177.0,627.0,27.0,29.0,6.0,321.0,94.0,35.0,9.61,11.69,9.64,9.0,10.0,8.0,618.72,450.0,445.52,4.69,7.42,6.88,28.74,28.52,28.04,409.56,42.41,39.78,42.83,40.18,430.0,132.0,199.0,761.0,36.0,43.0,5.0,400.0,111.0,51.0,11.61,14.31,16.5,11.0,15.0,10.0,773.33,562.0,569.03,6.63,10.34,10.34,38.7,39.08,37.86,97.15,136.85,1807.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,5on5,46,40318.0,791.0,9.33,0.48,0.44,0.5,0.46,0.49,0.46,200.0,49.44,2.59,2.81,12.42,1.57,29.23,22.38,2.44,2.57,2.42,2.0,3.0,51.0,20.0,34.0,105.0,6.0,1.0,8.0,0.0,11.0,0.0,24.0,27.0,50.0,70.0,10.0,20.0,0.0,48.0,21.0,51.0,64.0,5.0,2.0,1.62,0.5,0.47,1.0,0.0,0.0,103.01,71.0,69.99,46.0,0.56,1.88,0.3,2.84,2.8,2.68,791.0,63.0,76.0,101.0,551.0,125.0,117.0,106.0,443.0,0.0,0.0,92061.0,20.0,12.0,6.0,38.0,310.84,28.7,27.45,28.41,27.19,307.0,119.0,167.0,593.0,25.0,29.0,6.0,308.0,84.0,34.0,9.1,10.43,9.16,9.0,9.0,7.0,584.72,426.0,421.52,4.4,7.42,6.88,26.21,25.98,25.52,324.94,30.73,29.44,31.16,29.84,338.0,108.0,153.0,599.0,23.0,36.0,3.0,319.0,91.0,36.0,9.35,11.78,9.61,7.0,12.0,4.0,611.33,446.0,453.03,4.61,7.53,7.53,27.82,28.2,27.62,61.09,79.19,1320.0,1523.0,2.44,0.42,57.0,6.0,45.0,5.0
8480192,2022,Johnathan Kovacevic,MTL,D,4on5,46,4965.0,109.0,9.38,0.11,0.08,0.12,0.1,0.14,0.11,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,2.0,28.0,3.0,76.0,3.0,18.0,22.0,66.0,0.0,0.0,9593.0,2.0,0.0,0.0,0.0,11.68,1.21,1.21,1.21,1.21,13.0,3.0,4.0,20.0,0.0,0.0,0.0,9.0,7.0,0.0,0.33,0.88,0.0,0.0,0.0,0.0,20.0,16.0,16.0,0.18,0.0,0.0,1.39,1.39,1.39,72.38,9.72,8.67,9.72,8.67,79.0,20.0,43.0,142.0,10.0,7.0,2.0,69.0,20.0,10.0,1.83,2.53,5.36,2.0,3.0,5.0,142.0,99.0,99.0,1.71,2.81,2.81,8.62,8.62,8.3,2.22,24.11,39.0,358.0,0.12,0.0,3.0,0.0,3.0,0.0
8480192,2022,Johnathan Kovacevic,MTL,D,5on4,46,55.0,4.0,1.52,0.3,0.94,0.5,0.93,0.5,0.89,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,1881.0,0.0,0.0,0.0,0.0,0.83,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.04,0.0,0.0,0.05,0.05,0.05,0.69,0.03,0.03,0.03,0.03,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.04,0.04,0.04,2.02,0.13,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
